Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19760999,SA_0000001414,COUNTRY,CPV,YEAR,2016,SEX,BTSX,,,,,,,5,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761000,SA_0000001414,COUNTRY,CAF,YEAR,2016,SEX,MLE,,,,,,,20.4,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761001,SA_0000001414,COUNTRY,TCD,YEAR,2016,SEX,FMLE,,,,,,,4.4,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761002,SA_0000001414,COUNTRY,GIN,YEAR,2016,SEX,BTSX,,,,,,,4.8,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761003,SA_0000001414,COUNTRY,GIN,YEAR,2016,SEX,MLE,,,,,,,5.3,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761004,SA_0000001414,COUNTRY,MUS,YEAR,2016,SEX,BTSX,,,,,,,22.8,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761005,SA_0000001414,COUNTRY,NAM,YEAR,2016,SEX,FMLE,,,,,,,12.5,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761006,SA_0000001414,COUNTRY,NER,YEAR,2016,SEX,BTSX,,,,,,,4.5,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761007,SA_0000001414,COUNTRY,TGO,YEAR,2016,SEX,BTSX,,,,,,,4.4,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761008,SA_0000001414,COUNTRY,TGO,YEAR,2016,SEX,MLE,,,,,,,3.7,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761009,SA_0000001414,COUNTRY,BRA,YEAR,2016,SEX,FMLE,,,,,,,41.9,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761010,SA_0000001414,COUNTRY,CAN,YEAR,2016,SEX,BTSX,,,,,,,23.3,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761011,SA_0000001414,COUNTRY,IRN,YEAR,2016,SEX,MLE,,,,,,,0.7,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761012,SA_0000001414,COUNTRY,IRQ,YEAR,2016,SEX,FMLE,,,,,,,1.4,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761013,SA_0000001414,COUNTRY,EGY,YEAR,2016,SEX,BTSX,,,,,,,2.9,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761014,SA_0000001414,COUNTRY,DJI,YEAR,2016,SEX,FMLE,,,,,,,7.3,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761015,SA_0000001414,COUNTRY,BHR,YEAR,2016,SEX,MLE,,,,,,,9,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761016,SA_0000001414,COUNTRY,VCT,YEAR,2016,SEX,BTSX,,,,,,,24.3,,,,,2018-08-30T15:07:42Z,2016,2016-01-01,2016-12-31
19761017,SA_0000001414,COUNTRY,LCA,YEAR,2016,SEX,FMLE,,,,,,,26.8,,,,,2018-08-30T15:07:43Z,2016,2016-01-01,2016-12-31
19761018,SA_0000001414,COUNTRY,PER,YEAR,2016,SEX,MLE,,,,,,,28.7,,,,,2018-08-30T15:07:43Z,2016,2016-01-01,2016-12-31
