Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
23214765,SA_0000001739,COUNTRY,AFG,YEAR,2016,SEX,BTSX,,,,,,,0 [0-0],0,0,0,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214766,SA_0000001739,COUNTRY,AFG,YEAR,2016,SEX,FMLE,,,,,,,0 [0-0],0,0,0,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214767,SA_0000001739,COUNTRY,AFG,YEAR,2016,SEX,MLE,,,,,,,0 [0-0],0,0,0,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214768,SA_0000001739,COUNTRY,AFG,YEAR,2010,SEX,BTSX,,,,,,,0 [0-0],0,0,0,,2020-07-23T11:18:14Z,2010,2010-01-01,2010-12-31
23214769,SA_0000001739,COUNTRY,AGO,YEAR,2016,SEX,BTSX,,,,,,,37.6 [34.6-40.1],37.6,34.6,40.1,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214770,SA_0000001739,COUNTRY,AGO,YEAR,2016,SEX,FMLE,,,,,,,21.9 [18.7-24.7],21.9,18.7,24.7,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214771,SA_0000001739,COUNTRY,AGO,YEAR,2016,SEX,MLE,,,,,,,54.1 [51.2-56.2],54.1,51.2,56.2,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214772,SA_0000001739,COUNTRY,AGO,YEAR,2010,SEX,BTSX,,,,,,,50.1 [46.8-52.7],50.1,46.8,52.7,,2020-07-23T11:18:14Z,2010,2010-01-01,2010-12-31
23214773,SA_0000001739,COUNTRY,ALB,YEAR,2016,SEX,BTSX,,,,,,,24.6 [22.1-27.2],24.6,22.1,27.2,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214774,SA_0000001739,COUNTRY,ALB,YEAR,2016,SEX,FMLE,,,,,,,10.1 [8.5-11.8],10.1,8.5,11.8,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214775,SA_0000001739,COUNTRY,ALB,YEAR,2016,SEX,MLE,,,,,,,39.7 [36.2-43.1],39.7,36.2,43.1,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214776,SA_0000001739,COUNTRY,ALB,YEAR,2010,SEX,BTSX,,,,,,,27.4 [24.7-30],27.4,24.7,30,,2020-07-23T11:18:14Z,2010,2010-01-01,2010-12-31
23214777,SA_0000001739,COUNTRY,AND,YEAR,2016,SEX,BTSX,,,,,,,34.9 [32.4-37.5],34.9,32.4,37.5,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214778,SA_0000001739,COUNTRY,AND,YEAR,2016,SEX,FMLE,,,,,,,17.4 [15.5-19.5],17.4,15.5,19.5,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214779,SA_0000001739,COUNTRY,AND,YEAR,2016,SEX,MLE,,,,,,,51.9 [48.7-54.9],51.9,48.7,54.9,,2020-07-23T11:18:14Z,2016,2016-01-01,2016-12-31
23214780,SA_0000001739,COUNTRY,AND,YEAR,2010,SEX,BTSX,,,,,,,39.2 [36.6-41.9],39.2,36.6,41.9,,2020-07-23T11:18:14Z,2010,2010-01-01,2010-12-31
