Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
11076748,SA_0000001783,COUNTRY,HND,YEAR,2005,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_HND,11.7,11.7,,,,2015-06-09T09:24:23Z,2005,2005-01-01,2005-12-31
11076749,SA_0000001783,COUNTRY,SLV,YEAR,2008,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_SLV,13.8,13.8,,,,2015-06-09T09:24:23Z,2008,2008-01-01,2008-12-31
11076750,SA_0000001783,COUNTRY,ISL,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_ISL,16.0,16,,,,2015-06-09T09:24:23Z,2011,2011-01-01,2011-12-31
11076751,SA_0000001783,COUNTRY,ISL,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ISL,17.0,17,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076752,SA_0000001783,COUNTRY,SLV,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_SLV,17.0,17,,,,2015-06-09T09:24:24Z,2003,2003-01-01,2003-12-31
11076753,SA_0000001783,COUNTRY,BOL,YEAR,2008,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_BOL,18.6,18.6,,,,2015-06-09T09:24:24Z,2008,2008-01-01,2008-12-31
11076754,SA_0000001783,COUNTRY,ISL,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_ISL,19.0,19,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076755,SA_0000001783,COUNTRY,PAN,YEAR,2008,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_PAN,20.1,20.1,,,,2015-06-09T09:24:24Z,2008,2008-01-01,2008-12-31
11076756,SA_0000001783,COUNTRY,ARG,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ARG,21.1,21.1,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076757,SA_0000001783,COUNTRY,ARG,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ARG,22.1,22.1,,,,2015-06-09T09:24:24Z,2009,2009-01-01,2009-12-31
11076758,SA_0000001783,COUNTRY,VEN,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_VEN,23.0,23,,,,2015-06-09T09:24:24Z,2009,2009-01-01,2009-12-31
11076759,SA_0000001783,COUNTRY,ALB,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_ALB,24.0,24,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076760,SA_0000001783,COUNTRY,ARG,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ARG,24.2,24.2,,,,2015-06-09T09:24:24Z,2007,2007-01-01,2007-12-31
11076761,SA_0000001783,COUNTRY,USA,YEAR,2013,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,25.7,25.7,,,,2015-06-09T09:24:24Z,2013,2013-01-01,2013-12-31
11076762,SA_0000001783,COUNTRY,USA,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_USA,26.0,26,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076763,SA_0000001783,COUNTRY,USA,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,27.2,27.2,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076764,SA_0000001783,COUNTRY,USA,YEAR,2012,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,27.6,27.6,,,,2015-06-09T09:24:24Z,2012,2012-01-01,2012-12-31
11076765,SA_0000001783,COUNTRY,MNE,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_MNE,28.0,28,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076766,SA_0000001783,COUNTRY,ISL,YEAR,2007,SEX,MLE,,,,,DATASOURCE,SA_0000001783_ISL,28.0,28,,,,2015-06-09T09:24:24Z,2007,2007-01-01,2007-12-31
11076767,SA_0000001783,COUNTRY,USA,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_USA,28.0,28,,,,2015-06-09T09:24:24Z,2011,2011-01-01,2011-12-31
11076768,SA_0000001783,COUNTRY,NIC,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_NIC,28.1,28.1,,,,2015-06-09T09:24:24Z,2003,2003-01-01,2003-12-31
11076769,SA_0000001783,COUNTRY,GTM,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_GTM,28.4,28.4,,,,2015-06-09T09:24:24Z,2003,2003-01-01,2003-12-31
11076770,SA_0000001783,COUNTRY,USA,YEAR,2008,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,28.8,28.8,,,,2015-06-09T09:24:24Z,2008,2008-01-01,2008-12-31
11076771,SA_0000001783,COUNTRY,ARG,YEAR,2005,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ARG,28.9,28.9,,,,2015-06-09T09:24:25Z,2005,2005-01-01,2005-12-31
11076772,SA_0000001783,COUNTRY,USA,YEAR,2010,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,28.9,28.9,,,,2015-06-09T09:24:25Z,2010,2010-01-01,2010-12-31
11076773,SA_0000001783,COUNTRY,USA,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,30.4,30.4,,,,2015-06-09T09:24:25Z,2009,2009-01-01,2009-12-31
11076774,SA_0000001783,COUNTRY,ISL,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ISL,31.0,31,,,,2015-06-09T09:24:25Z,2007,2007-01-01,2007-12-31
11076775,SA_0000001783,COUNTRY,ARG,YEAR,2001,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ARG,31.4,31.4,,,,2015-06-09T09:24:25Z,2001,2001-01-01,2001-12-31
11076776,SA_0000001783,COUNTRY,ALB,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ALB,32.0,32,,,,2015-06-09T09:24:25Z,2011,2011-01-01,2011-12-31
11076777,SA_0000001783,COUNTRY,AUS,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_AUS,32.5,32.5,,,,2015-06-09T09:24:25Z,2011,2011-01-01,2011-12-31
11076778,SA_0000001783,COUNTRY,BIH,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_BIH,33.0,33,,,,2015-06-09T09:24:25Z,2011,2011-01-01,2011-12-31
11076779,SA_0000001783,COUNTRY,NOR,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_NOR,33.0,33,,,,2015-06-09T09:24:25Z,2011,2011-01-01,2011-12-31
11076780,SA_0000001783,COUNTRY,USA,YEAR,2005,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,33.2,33.2,,,,2015-06-09T09:24:25Z,2005,2005-01-01,2005-12-31
11076781,SA_0000001783,COUNTRY,USA,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,33.4,33.4,,,,2015-06-09T09:24:25Z,2007,2007-01-01,2007-12-31
11076782,SA_0000001783,COUNTRY,AUS,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_AUS,33.6,33.6,,,,2015-06-09T09:24:25Z,2011,2011-01-01,2011-12-31
11076783,SA_0000001783,COUNTRY,ISR,YEAR,2001,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ISR,33.7,33.7,,,,2015-06-09T09:24:25Z,2001,2001-01-01,2001-12-31
11076784,SA_0000001783,COUNTRY,USA,YEAR,2006,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,33.8,33.8,,,,2015-06-09T09:24:25Z,2006,2006-01-01,2006-12-31
11076785,SA_0000001783,COUNTRY,SWE,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_SWE,34.0,34,,,,2015-06-09T09:24:25Z,2011,2011-01-01,2011-12-31
11076786,SA_0000001783,COUNTRY,ISL,YEAR,2003,SEX,MLE,,,,,DATASOURCE,SA_0000001783_ISL,34.0,34,,,,2015-06-09T09:24:25Z,2003,2003-01-01,2003-12-31
11076787,SA_0000001783,COUNTRY,CHL,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_CHL,34.6,34.6,,,,2015-06-09T09:24:25Z,2011,2011-01-01,2011-12-31
11076788,SA_0000001783,COUNTRY,AUS,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_AUS,34.7,34.7,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076789,SA_0000001783,COUNTRY,CHL,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_CHL,34.7,34.7,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076790,SA_0000001783,COUNTRY,CHL,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_CHL,34.9,34.9,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076791,SA_0000001783,COUNTRY,NOR,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_NOR,35.0,35,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076792,SA_0000001783,COUNTRY,ISL,YEAR,2007,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_ISL,35.0,35,,,,2015-06-09T09:24:26Z,2007,2007-01-01,2007-12-31
11076793,SA_0000001783,COUNTRY,USA,YEAR,2004,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,35.2,35.2,,,,2015-06-09T09:24:26Z,2004,2004-01-01,2004-12-31
11076794,SA_0000001783,COUNTRY,USA,YEAR,2002,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,35.4,35.4,,,,2015-06-09T09:24:26Z,2002,2002-01-01,2002-12-31
11076795,SA_0000001783,COUNTRY,USA,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,35.4,35.4,,,,2015-06-09T09:24:26Z,2003,2003-01-01,2003-12-31
11076796,SA_0000001783,COUNTRY,CHL,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_CHL,35.5,35.5,,,,2015-06-09T09:24:26Z,2009,2009-01-01,2009-12-31
11076797,SA_0000001783,COUNTRY,CHL,YEAR,2009,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_CHL,35.5,35.5,,,,2015-06-09T09:24:26Z,2009,2009-01-01,2009-12-31
11076798,SA_0000001783,COUNTRY,CHL,YEAR,2009,SEX,MLE,,,,,DATASOURCE,SA_0000001783_CHL,35.6,35.6,,,,2015-06-09T09:24:26Z,2009,2009-01-01,2009-12-31
11076799,SA_0000001783,COUNTRY,NOR,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_NOR,36.0,36,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076800,SA_0000001783,COUNTRY,RUS,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_RUS,37.0,37,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076801,SA_0000001783,COUNTRY,RUS,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_RUS,37.0,37,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076802,SA_0000001783,COUNTRY,RUS,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_RUS,37.0,37,,,,2015-06-09T09:24:26Z,2011,2011-01-01,2011-12-31
11076803,SA_0000001783,COUNTRY,ISL,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ISL,37.0,37,,,,2015-06-09T09:24:27Z,2003,2003-01-01,2003-12-31
11076804,SA_0000001783,COUNTRY,ISR,YEAR,2005,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ISR,37.2,37.2,,,,2015-06-09T09:24:27Z,2005,2005-01-01,2005-12-31
11076805,SA_0000001783,COUNTRY,CHL,YEAR,2001,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_CHL,37.5,37.5,,,,2015-06-09T09:24:27Z,2001,2001-01-01,2001-12-31
11076806,SA_0000001783,COUNTRY,CHL,YEAR,2007,SEX,MLE,,,,,DATASOURCE,SA_0000001783_CHL,37.9,37.9,,,,2015-06-09T09:24:27Z,2007,2007-01-01,2007-12-31
11076807,SA_0000001783,COUNTRY,MNE,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_MNE,38.0,38,,,,2015-06-09T09:24:27Z,2011,2011-01-01,2011-12-31
11076808,SA_0000001783,COUNTRY,SWE,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_SWE,38.0,38,,,,2015-06-09T09:24:27Z,2011,2011-01-01,2011-12-31
11076809,SA_0000001783,COUNTRY,CHL,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_CHL,38.1,38.1,,,,2015-06-09T09:24:27Z,2007,2007-01-01,2007-12-31
11076810,SA_0000001783,COUNTRY,CHL,YEAR,2003,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_CHL,38.4,38.4,,,,2015-06-09T09:24:27Z,2003,2003-01-01,2003-12-31
11076811,SA_0000001783,COUNTRY,CHL,YEAR,2007,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_CHL,38.4,38.4,,,,2015-06-09T09:24:27Z,2007,2007-01-01,2007-12-31
11076812,SA_0000001783,COUNTRY,CHL,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_CHL,38.7,38.7,,,,2015-06-09T09:24:27Z,2003,2003-01-01,2003-12-31
11076813,SA_0000001783,COUNTRY,CHL,YEAR,2001,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_CHL,38.9,38.9,,,,2015-06-09T09:24:27Z,2001,2001-01-01,2001-12-31
11076814,SA_0000001783,COUNTRY,ISL,YEAR,2003,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_ISL,39.0,39,,,,2015-06-09T09:24:27Z,2003,2003-01-01,2003-12-31
11076815,SA_0000001783,COUNTRY,NOR,YEAR,2007,SEX,MLE,,,,,DATASOURCE,SA_0000001783_NOR,39.0,39,,,,2015-06-09T09:24:28Z,2007,2007-01-01,2007-12-31
11076816,SA_0000001783,COUNTRY,USA,YEAR,2001,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,39.0,39,,,,2015-06-09T09:24:28Z,2001,2001-01-01,2001-12-31
11076817,SA_0000001783,COUNTRY,CHL,YEAR,2003,SEX,MLE,,,,,DATASOURCE,SA_0000001783_CHL,39.1,39.1,,,,2015-06-09T09:24:28Z,2003,2003-01-01,2003-12-31
11076818,SA_0000001783,COUNTRY,ISR,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_ISR,39.5,39.5,,,,2015-06-09T09:24:28Z,2009,2009-01-01,2009-12-31
11076819,SA_0000001783,COUNTRY,ROU,YEAR,2007,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_ROU,40.0,40,,,,2015-06-09T09:24:28Z,2007,2007-01-01,2007-12-31
11076820,SA_0000001783,COUNTRY,CHL,YEAR,2001,SEX,MLE,,,,,DATASOURCE,SA_0000001783_CHL,40.3,40.3,,,,2015-06-09T09:24:28Z,2001,2001-01-01,2001-12-31
11076821,SA_0000001783,COUNTRY,SWE,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_SWE,41.0,41,,,,2015-06-09T09:24:28Z,2011,2011-01-01,2011-12-31
11076822,SA_0000001783,COUNTRY,SWE,YEAR,2007,SEX,MLE,,,,,DATASOURCE,SA_0000001783_SWE,41.0,41,,,,2015-06-09T09:24:28Z,2007,2007-01-01,2007-12-31
11076823,SA_0000001783,COUNTRY,USA,YEAR,2000,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_USA,41.0,41,,,,2015-06-09T09:24:28Z,2000,2000-01-01,2000-12-31
11076824,SA_0000001783,COUNTRY,DOM,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_DOM,41.4,41.4,,,,2015-06-09T09:24:28Z,2003,2003-01-01,2003-12-31
11076825,SA_0000001783,COUNTRY,ALB,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001783_ALB,42.0,42,,,,2015-06-09T09:24:28Z,2011,2011-01-01,2011-12-31
11076826,SA_0000001783,COUNTRY,NOR,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001783_NOR,42.0,42,,,,2015-06-09T09:24:28Z,2007,2007-01-01,2007-12-31
11076827,SA_0000001783,COUNTRY,PRT,YEAR,2003,SEX,FMLE,,,,,DATASOURCE,SA_0000001783_PRT,42.0,42,,,,2015-06-09T09:24:28Z,2003,2003-01-01,2003-12-31
