Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20078666,SA_0000001781,COUNTRY,ALB,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_ALB,44,44,,,,2018-10-24T14:59:43Z,2011,2011-01-01,2011-12-31
20078667,SA_0000001781,COUNTRY,ALB,YEAR,2015,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_ALB,51,51,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078668,SA_0000001781,COUNTRY,ALB,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ALB,52,52,,,,2018-10-24T14:59:43Z,2011,2011-01-01,2011-12-31
20078669,SA_0000001781,COUNTRY,ALB,YEAR,2015,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ALB,60,60,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078670,SA_0000001781,COUNTRY,ALB,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001781_ALB,63,63,,,,2018-10-24T14:59:43Z,2011,2011-01-01,2011-12-31
20078671,SA_0000001781,COUNTRY,ALB,YEAR,2015,SEX,MLE,,,,,DATASOURCE,SA_0000001781_ALB,71,71,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078672,SA_0000001781,COUNTRY,ARG,YEAR,2005,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ARG,65.2,65.2,,,,2018-10-24T14:59:43Z,2005,2005-01-01,2005-12-31
20078673,SA_0000001781,COUNTRY,ARG,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ARG,68.9,68.9,,,,2018-10-24T14:59:43Z,2009,2009-01-01,2009-12-31
20078674,SA_0000001781,COUNTRY,ARG,YEAR,2001,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ARG,72.2,72.2,,,,2018-10-24T14:59:43Z,2001,2001-01-01,2001-12-31
20078675,SA_0000001781,COUNTRY,ARG,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ARG,72.4,72.4,,,,2018-10-24T14:59:43Z,2011,2011-01-01,2011-12-31
20078676,SA_0000001781,COUNTRY,ARG,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ARG,73.6,73.6,,,,2018-10-24T14:59:43Z,2007,2007-01-01,2007-12-31
20078677,SA_0000001781,COUNTRY,ARM,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ARM,66,66,,,,2018-10-24T14:59:43Z,2007,2007-01-01,2007-12-31
20078678,SA_0000001781,COUNTRY,ATG,YEAR,2016,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_ATG,62.8,62.8,,,,2018-10-24T14:59:43Z,2016,2016-01-01,2016-12-31
20078679,SA_0000001781,COUNTRY,AUS,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001781_AUS,60.1,60.1,,,,2018-10-24T14:59:43Z,2011,2011-01-01,2011-12-31
20078680,SA_0000001781,COUNTRY,AUS,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_AUS,60.2,60.2,,,,2018-10-24T14:59:43Z,2011,2011-01-01,2011-12-31
20078681,SA_0000001781,COUNTRY,AUS,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_AUS,60.2,60.2,,,,2018-10-24T14:59:43Z,2011,2011-01-01,2011-12-31
20078682,SA_0000001781,COUNTRY,AUS,YEAR,2008,SEX,MLE,,,,,DATASOURCE,SA_0000001781_AUS,77.1,77.1,,,,2018-10-24T14:59:43Z,2008,2008-01-01,2008-12-31
20078683,SA_0000001781,COUNTRY,AUS,YEAR,2008,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_AUS,77.6,77.6,,,,2018-10-24T14:59:43Z,2008,2008-01-01,2008-12-31
20078684,SA_0000001781,COUNTRY,AUS,YEAR,2008,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_AUS,78.1,78.1,,,,2018-10-24T14:59:43Z,2008,2008-01-01,2008-12-31
20078685,SA_0000001781,COUNTRY,AUT,YEAR,2015,SEX,MLE,,,,,DATASOURCE,SA_0000001781_AUT,86,86,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078686,SA_0000001781,COUNTRY,AUT,YEAR,2015,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_AUT,88,88,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078687,SA_0000001781,COUNTRY,AUT,YEAR,2015,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_AUT,90,90,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078688,SA_0000001781,COUNTRY,AUT,YEAR,2003,SEX,MLE,,,,,DATASOURCE,SA_0000001781_AUT,92,92,,,,2018-10-24T14:59:43Z,2003,2003-01-01,2003-12-31
20078689,SA_0000001781,COUNTRY,AUT,YEAR,2007,SEX,MLE,,,,,DATASOURCE,SA_0000001781_AUT,92,92,,,,2018-10-24T14:59:43Z,2007,2007-01-01,2007-12-31
20078690,SA_0000001781,COUNTRY,AUT,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_AUT,92,92,,,,2018-10-24T14:59:43Z,2007,2007-01-01,2007-12-31
20078691,SA_0000001781,COUNTRY,AUT,YEAR,2003,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_AUT,93,93,,,,2018-10-24T14:59:43Z,2003,2003-01-01,2003-12-31
20078692,SA_0000001781,COUNTRY,AUT,YEAR,2003,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_AUT,94,94,,,,2018-10-24T14:59:43Z,2003,2003-01-01,2003-12-31
20078693,SA_0000001781,COUNTRY,AUT,YEAR,2007,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_AUT,97,97,,,,2018-10-24T14:59:43Z,2007,2007-01-01,2007-12-31
20078694,SA_0000001781,COUNTRY,BEL,YEAR,2015,SEX,MLE,,,,,DATASOURCE,SA_0000001781_BEL,77,77,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078695,SA_0000001781,COUNTRY,BEL,YEAR,2015,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_BEL,80,80,,,,2018-10-24T14:59:43Z,2015,2015-01-01,2015-12-31
20078696,SA_0000001781,COUNTRY,BEL,YEAR,2007,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_BEL,82,82,,,,2018-10-24T14:59:43Z,2007,2007-01-01,2007-12-31
20078697,SA_0000001781,COUNTRY,BEL,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001781_BEL,82,82,,,,2018-10-24T14:59:44Z,2011,2011-01-01,2011-12-31
20078698,SA_0000001781,COUNTRY,BEL,YEAR,2007,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_BEL,83,83,,,,2018-10-24T14:59:44Z,2007,2007-01-01,2007-12-31
20078699,SA_0000001781,COUNTRY,BEL,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001781_BEL,83,83,,,,2018-10-24T14:59:44Z,2011,2011-01-01,2011-12-31
20078700,SA_0000001781,COUNTRY,BEL,YEAR,2015,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_BEL,83,83,,,,2018-10-24T14:59:44Z,2015,2015-01-01,2015-12-31
20078701,SA_0000001781,COUNTRY,BEL,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001781_BEL,84,84,,,,2018-10-24T14:59:44Z,2011,2011-01-01,2011-12-31
