Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20080651,SA_0000001787,COUNTRY,ATG,YEAR,2009,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_ATG,88.2,88.2,,,,2018-10-25T10:12:06Z,2009,2009-01-01,2009-12-31
20080652,SA_0000001787,COUNTRY,BLZ,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_BLZ,79.2,79.2,,,,2018-10-25T10:12:06Z,2011,2011-01-01,2011-12-31
20080653,SA_0000001787,COUNTRY,BOL,YEAR,2012,SEX,MLE,,,,,DATASOURCE,SA_0000001787_BOL,59.3,59.3,,,,2018-10-25T10:12:06Z,2012,2012-01-01,2012-12-31
20080654,SA_0000001787,COUNTRY,COK,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_COK,80.1,80.1,,,,2018-10-25T10:12:06Z,2011,2011-01-01,2011-12-31
20080655,SA_0000001787,COUNTRY,DMA,YEAR,2009,SEX,MLE,,,,,DATASOURCE,SA_0000001787_DMA,88.8,88.8,,,,2018-10-25T10:12:06Z,2009,2009-01-01,2009-12-31
20080656,SA_0000001787,COUNTRY,JAM,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001787_JAM,84.6,84.6,,,,2018-10-25T10:12:06Z,2010,2010-01-01,2010-12-31
20080657,SA_0000001787,COUNTRY,LBN,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_LBN,85.9,85.9,,,,2018-10-25T10:12:06Z,2011,2011-01-01,2011-12-31
20080658,SA_0000001787,COUNTRY,NRU,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_NRU,66.7,66.7,,,,2018-10-25T10:12:06Z,2011,2011-01-01,2011-12-31
20080659,SA_0000001787,COUNTRY,PHL,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_PHL,56.7,56.7,,,,2018-10-25T10:12:06Z,2011,2011-01-01,2011-12-31
20080660,SA_0000001787,COUNTRY,SLB,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001787_SLB,62.1,62.1,,,,2018-10-25T10:12:06Z,2011,2011-01-01,2011-12-31
20080661,SA_0000001787,COUNTRY,TTO,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_TTO,86.5,86.5,,,,2018-10-25T10:12:06Z,2011,2011-01-01,2011-12-31
20080662,SA_0000001787,COUNTRY,BTN,YEAR,2016,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_BTN,70.4,70.4,,,,2018-10-25T10:12:06Z,2016,2016-01-01,2016-12-31
20080663,SA_0000001787,COUNTRY,COK,YEAR,2015,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_COK,79.5,79.5,,,,2018-10-25T10:12:06Z,2015,2015-01-01,2015-12-31
20080664,SA_0000001787,COUNTRY,DOM,YEAR,2016,SEX,MLE,,,,,DATASOURCE,SA_0000001787_DOM,70.8,70.8,,,,2018-10-25T10:12:06Z,2016,2016-01-01,2016-12-31
20080665,SA_0000001787,COUNTRY,JAM,YEAR,2017,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_JAM,82.3,82.3,,,,2018-10-25T10:12:06Z,2017,2017-01-01,2017-12-31
20080666,SA_0000001787,COUNTRY,LBN,YEAR,2017,SEX,MLE,,,,,DATASOURCE,SA_0000001787_LBN,87.1,87.1,,,,2018-10-25T10:12:06Z,2017,2017-01-01,2017-12-31
20080667,SA_0000001787,COUNTRY,NAM,YEAR,2017,SEX,MLE,,,,,DATASOURCE,SA_0000001787_NAM,75.6,75.6,,,,2018-10-25T10:12:06Z,2017,2017-01-01,2017-12-31
20080668,SA_0000001787,COUNTRY,PRY,YEAR,2017,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_PRY,60.3,60.3,,,,2018-10-25T10:12:06Z,2017,2017-01-01,2017-12-31
20080669,SA_0000001787,COUNTRY,SLE,YEAR,2017,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_SLE,79.5,79.5,,,,2018-10-25T10:12:06Z,2017,2017-01-01,2017-12-31
20080670,SA_0000001787,COUNTRY,THA,YEAR,2015,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_THA,65.9,65.9,,,,2018-10-25T10:12:06Z,2015,2015-01-01,2015-12-31
20080671,SA_0000001787,COUNTRY,TTO,YEAR,2017,SEX,MLE,,,,,DATASOURCE,SA_0000001787_TTO,84.9,84.9,,,,2018-10-25T10:12:07Z,2017,2017-01-01,2017-12-31
20080672,SA_0000001787,COUNTRY,VNM,YEAR,2013,SEX,MLE,,,,,DATASOURCE,SA_0000001787_VNM,65,65,,,,2018-10-25T10:12:07Z,2013,2013-01-01,2013-12-31
20080673,SA_0000001787,COUNTRY,MNG,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001787_MNG,67.9,67.9,,,,2018-10-25T10:12:07Z,2010,2010-01-01,2010-12-31
20080674,SA_0000001787,COUNTRY,BTN,YEAR,2016,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_BTN,74,74,,,,2018-10-25T10:12:07Z,2016,2016-01-01,2016-12-31
20080675,SA_0000001787,COUNTRY,COK,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001787_COK,81,81,,,,2018-10-25T10:12:07Z,2010,2010-01-01,2010-12-31
20080676,SA_0000001787,COUNTRY,VUT,YEAR,2016,SEX,MLE,,,,,DATASOURCE,SA_0000001787_VUT,53.4,53.4,,,,2018-10-25T10:12:07Z,2016,2016-01-01,2016-12-31
20080677,SA_0000001787,COUNTRY,TLS,YEAR,2015,SEX,MLE,,,,,DATASOURCE,SA_0000001787_TLS,73.1,73.1,,,,2018-10-25T10:12:07Z,2015,2015-01-01,2015-12-31
20080678,SA_0000001787,COUNTRY,THA,YEAR,2015,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_THA,70.1,70.1,,,,2018-10-25T10:12:07Z,2015,2015-01-01,2015-12-31
20080679,SA_0000001787,COUNTRY,SLE,YEAR,2017,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_SLE,77.9,77.9,,,,2018-10-25T10:12:07Z,2017,2017-01-01,2017-12-31
20080680,SA_0000001787,COUNTRY,PRY,YEAR,2017,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_PRY,61.6,61.6,,,,2018-10-25T10:12:07Z,2017,2017-01-01,2017-12-31
20080681,SA_0000001787,COUNTRY,MUS,YEAR,2017,SEX,MLE,,,,,DATASOURCE,SA_0000001787_MUS,75.6,75.6,,,,2018-10-25T10:12:07Z,2017,2017-01-01,2017-12-31
20080682,SA_0000001787,COUNTRY,LAO,YEAR,2015,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_LAO,33.7,33.7,,,,2018-10-25T10:12:07Z,2015,2015-01-01,2015-12-31
20080683,SA_0000001787,COUNTRY,IDN,YEAR,2015,SEX,MLE,,,,,DATASOURCE,SA_0000001787_IDN,70.9,70.9,,,,2018-10-25T10:12:07Z,2015,2015-01-01,2015-12-31
20080684,SA_0000001787,COUNTRY,FJI,YEAR,2016,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_FJI,68.7,68.7,,,,2018-10-25T10:12:07Z,2016,2016-01-01,2016-12-31
20080685,SA_0000001787,COUNTRY,URY,YEAR,2012,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_URY,69.1,69.1,,,,2018-10-25T10:12:07Z,2012,2012-01-01,2012-12-31
20080686,SA_0000001787,COUNTRY,TON,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001787_TON,71.4,71.4,,,,2018-10-25T10:12:07Z,2010,2010-01-01,2010-12-31
20080687,SA_0000001787,COUNTRY,SUR,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_SUR,73.8,73.8,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080688,SA_0000001787,COUNTRY,PER,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001787_PER,70.2,70.2,,,,2018-10-25T10:12:07Z,2010,2010-01-01,2010-12-31
20080689,SA_0000001787,COUNTRY,NRU,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_NRU,64.7,64.7,,,,2018-10-25T10:12:07Z,2011,2011-01-01,2011-12-31
20080690,SA_0000001787,COUNTRY,LBN,YEAR,2011,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_LBN,87.5,87.5,,,,2018-10-25T10:12:07Z,2011,2011-01-01,2011-12-31
20080691,SA_0000001787,COUNTRY,HND,YEAR,2012,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_HND,74.9,74.9,,,,2018-10-25T10:12:07Z,2012,2012-01-01,2012-12-31
20080692,SA_0000001787,COUNTRY,GTM,YEAR,2009,SEX,MLE,,,,,DATASOURCE,SA_0000001787_GTM,74.4,74.4,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080693,SA_0000001787,COUNTRY,CRI,YEAR,2009,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_CRI,76.7,76.7,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080694,SA_0000001787,COUNTRY,KHM,YEAR,2013,SEX,MLE,,,,,DATASOURCE,SA_0000001787_KHM,46.2,46.2,,,,2018-10-25T10:12:07Z,2013,2013-01-01,2013-12-31
20080695,SA_0000001787,COUNTRY,BRB,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001787_BRB,88.7,88.7,,,,2018-10-25T10:12:07Z,2011,2011-01-01,2011-12-31
20080696,SA_0000001787,COUNTRY,ATG,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_ATG,86.5,86.5,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080697,SA_0000001787,COUNTRY,BEN,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_BEN,76.6,76.6,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080698,SA_0000001787,COUNTRY,COK,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_COK,79.1,79.1,,,,2018-10-25T10:12:07Z,2011,2011-01-01,2011-12-31
20080699,SA_0000001787,COUNTRY,CRI,YEAR,2009,SEX,MLE,,,,,DATASOURCE,SA_0000001787_CRI,82.9,82.9,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080700,SA_0000001787,COUNTRY,GTM,YEAR,2009,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_GTM,69.2,69.2,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080701,SA_0000001787,COUNTRY,GUY,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001787_GUY,80.5,80.5,,,,2018-10-25T10:12:07Z,2010,2010-01-01,2010-12-31
20080702,SA_0000001787,COUNTRY,HND,YEAR,2012,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_HND,77.1,77.1,,,,2018-10-25T10:12:07Z,2012,2012-01-01,2012-12-31
20080703,SA_0000001787,COUNTRY,MWI,YEAR,2009,SEX,MLE,,,,,DATASOURCE,SA_0000001787_MWI,86.6,86.6,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080704,SA_0000001787,COUNTRY,MYS,YEAR,2012,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_MYS,83.4,83.4,,,,2018-10-25T10:12:07Z,2012,2012-01-01,2012-12-31
20080705,SA_0000001787,COUNTRY,NIU,YEAR,2010,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_NIU,78.7,78.7,,,,2018-10-25T10:12:07Z,2010,2010-01-01,2010-12-31
20080706,SA_0000001787,COUNTRY,SUR,YEAR,2009,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_SUR,74.2,74.2,,,,2018-10-25T10:12:07Z,2009,2009-01-01,2009-12-31
20080707,SA_0000001787,COUNTRY,SYR,YEAR,2010,SEX,MLE,,,,,DATASOURCE,SA_0000001787_SYR,88.6,88.6,,,,2018-10-25T10:12:07Z,2010,2010-01-01,2010-12-31
20080708,SA_0000001787,COUNTRY,CHL,YEAR,2013,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_CHL,79.2,79.2,,,,2018-10-25T10:12:07Z,2013,2013-01-01,2013-12-31
20080709,SA_0000001787,COUNTRY,CHL,YEAR,2013,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_CHL,76.6,76.6,,,,2018-10-25T10:12:07Z,2013,2013-01-01,2013-12-31
20080710,SA_0000001787,COUNTRY,FJI,YEAR,2016,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_FJI,64.3,64.3,,,,2018-10-25T10:12:08Z,2016,2016-01-01,2016-12-31
20080711,SA_0000001787,COUNTRY,MDV,YEAR,2014,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_MDV,86.8,86.8,,,,2018-10-25T10:12:08Z,2014,2014-01-01,2014-12-31
20080712,SA_0000001787,COUNTRY,NPL,YEAR,2015,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_NPL,82,82,,,,2018-10-25T10:12:08Z,2015,2015-01-01,2015-12-31
20080713,SA_0000001787,COUNTRY,NPL,YEAR,2015,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_NPL,71.9,71.9,,,,2018-10-25T10:12:08Z,2015,2015-01-01,2015-12-31
20080714,SA_0000001787,COUNTRY,SUR,YEAR,2016,SEX,MLE,,,,,DATASOURCE,SA_0000001787_SUR,78.4,78.4,,,,2018-10-25T10:12:08Z,2016,2016-01-01,2016-12-31
20080715,SA_0000001787,COUNTRY,TON,YEAR,2017,SEX,MLE,,,,,DATASOURCE,SA_0000001787_TON,80.1,80.1,,,,2018-10-25T10:12:08Z,2017,2017-01-01,2017-12-31
20080716,SA_0000001787,COUNTRY,TTO,YEAR,2017,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_TTO,82.5,82.5,,,,2018-10-25T10:12:08Z,2017,2017-01-01,2017-12-31
20080717,SA_0000001787,COUNTRY,BLZ,YEAR,2011,SEX,FMLE,,,,,DATASOURCE,SA_0000001787_BLZ,78,78,,,,2018-10-25T10:12:08Z,2011,2011-01-01,2011-12-31
20080718,SA_0000001787,COUNTRY,BEN,YEAR,2009,SEX,MLE,,,,,DATASOURCE,SA_0000001787_BEN,75.6,75.6,,,,2018-10-25T10:12:08Z,2009,2009-01-01,2009-12-31
20080719,SA_0000001787,COUNTRY,COK,YEAR,2011,SEX,MLE,,,,,DATASOURCE,SA_0000001787_COK,81,81,,,,2018-10-25T10:12:08Z,2011,2011-01-01,2011-12-31
20080720,SA_0000001787,COUNTRY,CRI,YEAR,2009,SEX,BTSX,,,,,DATASOURCE,SA_0000001787_CRI,79.7,79.7,,,,2018-10-25T10:12:08Z,2009,2009-01-01,2009-12-31
