Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20077046,SA_0000001759,COUNTRY,LBY,YEAR,2016,SEX,FMLE,,,,,,,0 [0-0],0,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077047,SA_0000001759,COUNTRY,KWT,YEAR,2016,SEX,FMLE,,,,,,,0.1 [0.1-0.1],0.1,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077048,SA_0000001759,COUNTRY,LBY,YEAR,2016,SEX,MLE,,,,,,,0.1 [0.1-0.1],0.1,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077049,SA_0000001759,COUNTRY,AFG,YEAR,2016,SEX,FMLE,,,,,,,0.1 [0.1-0.2],0.1,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077050,SA_0000001759,COUNTRY,LBY,YEAR,2016,SEX,BTSX,,,,,,,0.1 [0-0.1],0.1,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077051,SA_0000001759,COUNTRY,SOM,YEAR,2016,SEX,FMLE,,,,,,,0.2 [0.1-0.2],0.2,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077052,SA_0000001759,COUNTRY,YEM,YEAR,2016,SEX,FMLE,,,,,,,0.2 [0.1-0.2],0.2,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077053,SA_0000001759,COUNTRY,MRT,YEAR,2016,SEX,FMLE,,,,,,,0.2 [0.2-0.3],0.2,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077054,SA_0000001759,COUNTRY,KWT,YEAR,2016,SEX,BTSX,,,,,,,0.2 [0.2-0.3],0.2,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077055,SA_0000001759,COUNTRY,PAK,YEAR,2016,SEX,FMLE,,,,,,,0.3 [0.2-0.4],0.3,,,,2018-10-24T13:55:14Z,2016,2016-01-01,2016-12-31
20077056,SA_0000001759,COUNTRY,AFG,YEAR,2016,SEX,BTSX,,,,,,,0.3 [0.3-0.4],0.3,,,,2018-10-24T13:55:15Z,2016,2016-01-01,2016-12-31
20077057,SA_0000001759,COUNTRY,SOM,YEAR,2016,SEX,BTSX,,,,,,,0.3 [0.3-0.4],0.3,,,,2018-10-24T13:55:15Z,2016,2016-01-01,2016-12-31
20077058,SA_0000001759,COUNTRY,YEM,YEAR,2016,SEX,BTSX,,,,,,,0.3 [0.3-0.4],0.3,,,,2018-10-24T13:55:15Z,2016,2016-01-01,2016-12-31
20077059,SA_0000001759,COUNTRY,KWT,YEAR,2016,SEX,MLE,,,,,,,0.3 [0.3-0.5],0.3,,,,2018-10-24T13:55:15Z,2016,2016-01-01,2016-12-31
20077060,SA_0000001759,COUNTRY,SYR,YEAR,2016,SEX,FMLE,,,,,,,0.3 [0.3-0.5],0.3,,,,2018-10-24T13:55:15Z,2016,2016-01-01,2016-12-31
20077061,SA_0000001759,COUNTRY,MRT,YEAR,2016,SEX,BTSX,,,,,,,0.5 [0.4-0.6],0.5,,,,2018-10-24T13:55:15Z,2016,2016-01-01,2016-12-31
