Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19844841,SA_0000001457,COUNTRY,CHN,YEAR,2016,SEX,MLE,,,,,,,14.6,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844842,SA_0000001457,COUNTRY,PHL,YEAR,2016,SEX,FMLE,,,,,,,6.3,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844843,SA_0000001457,COUNTRY,VUT,YEAR,2016,SEX,FMLE,,,,,,,8.5,,,,,2018-09-06T10:05:12Z,2016,2016-01-01,2016-12-31
19844881,SA_0000001457,COUNTRY,COK,YEAR,2016,SEX,MLE,,,,,,,No data,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844882,SA_0000001457,COUNTRY,NRU,YEAR,2016,SEX,FMLE,,,,,,,No data,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844895,SA_0000001457,COUNTRY,FJI,YEAR,2016,SEX,MLE,,,,,,,1.6,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844896,SA_0000001457,COUNTRY,FJI,YEAR,2016,SEX,FMLE,,,,,,,0.8,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844897,SA_0000001457,COUNTRY,JPN,YEAR,2016,SEX,MLE,,,,,,,10.9,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844898,SA_0000001457,COUNTRY,LAO,YEAR,2016,SEX,MLE,,,,,,,38.7,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
19844899,SA_0000001457,COUNTRY,FSM,YEAR,2016,SEX,FMLE,,,,,,,15.9,,,,,2018-09-06T10:05:13Z,2016,2016-01-01,2016-12-31
