Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19764601,SA_0000001464,COUNTRY,AUT,YEAR,2009,,,,,,,DATASOURCE,SA_0000001464_AUT,492.3,,,,,2018-08-30T15:35:31Z,2009,2009-01-01,2009-12-31
19764609,SA_0000001464,COUNTRY,AUT,YEAR,2014,,,,,,,DATASOURCE,SA_0000001464_AUT,392.4,,,,,2018-08-30T15:35:31Z,2014,2014-01-01,2014-12-31
19764621,SA_0000001464,COUNTRY,AUT,YEAR,2010,,,,,,,DATASOURCE,SA_0000001464_AUT,447.1,,,,,2018-08-30T15:35:32Z,2010,2010-01-01,2010-12-31
19764622,SA_0000001464,COUNTRY,AUT,YEAR,2012,,,,,,,DATASOURCE,SA_0000001464_AUT,456.8,,,,,2018-08-30T15:35:32Z,2012,2012-01-01,2012-12-31
19764633,SA_0000001464,COUNTRY,AUT,YEAR,2011,,,,,,,DATASOURCE,SA_0000001464_AUT,477.6,,,,,2018-08-30T15:35:33Z,2011,2011-01-01,2011-12-31
19764646,SA_0000001464,COUNTRY,AUT,YEAR,2013,,,,,,,DATASOURCE,SA_0000001464_AUT,417.2,,,,,2018-08-30T15:35:33Z,2013,2013-01-01,2013-12-31
19764718,SA_0000001464,COUNTRY,BEL,YEAR,2007,,,,,,,DATASOURCE,SA_0000001464_BEL,438,,,,,2018-08-30T15:35:37Z,2007,2007-01-01,2007-12-31
19764720,SA_0000001464,COUNTRY,BEL,YEAR,2012,,,,,,,DATASOURCE,SA_0000001464_BEL,416.8,,,,,2018-08-30T15:35:37Z,2012,2012-01-01,2012-12-31
19764721,SA_0000001464,COUNTRY,BEL,YEAR,2013,,,,,,,DATASOURCE,SA_0000001464_BEL,430.8,,,,,2018-08-30T15:35:37Z,2013,2013-01-01,2013-12-31
19764724,SA_0000001464,COUNTRY,BEL,YEAR,2008,,,,,,,DATASOURCE,SA_0000001464_BEL,489.5,,,,,2018-08-30T15:35:38Z,2008,2008-01-01,2008-12-31
19764732,SA_0000001464,COUNTRY,BEL,YEAR,2009,,,,,,,DATASOURCE,SA_0000001464_BEL,499.3,,,,,2018-08-30T15:35:38Z,2009,2009-01-01,2009-12-31
19764736,SA_0000001464,COUNTRY,BEL,YEAR,2010,,,,,,,DATASOURCE,SA_0000001464_BEL,514.2,,,,,2018-08-30T15:35:38Z,2010,2010-01-01,2010-12-31
19764737,SA_0000001464,COUNTRY,BEL,YEAR,2011,,,,,,,DATASOURCE,SA_0000001464_BEL,472.6,,,,,2018-08-30T15:35:38Z,2011,2011-01-01,2011-12-31
19764782,SA_0000001464,COUNTRY,BHR,YEAR,2011,,,,,,,DATASOURCE,SA_0000001464_BHR,121,,,,,2018-08-30T15:35:41Z,2011,2011-01-01,2011-12-31
19764785,SA_0000001464,COUNTRY,BHR,YEAR,2006,,,,,,,DATASOURCE,SA_0000001464_BHR,17.3,,,,,2018-08-30T15:35:41Z,2006,2006-01-01,2006-12-31
19764790,SA_0000001464,COUNTRY,BHR,YEAR,2008,,,,,,,DATASOURCE,SA_0000001464_BHR,78.9,,,,,2018-08-30T15:35:41Z,2008,2008-01-01,2008-12-31
19764791,SA_0000001464,COUNTRY,BHR,YEAR,2010,,,,,,,DATASOURCE,SA_0000001464_BHR,18.1,,,,,2018-08-30T15:35:41Z,2010,2010-01-01,2010-12-31
19764793,SA_0000001464,COUNTRY,BHR,YEAR,2013,,,,,,,DATASOURCE,SA_0000001464_BHR,99.6,,,,,2018-08-30T15:35:41Z,2013,2013-01-01,2013-12-31
19764797,SA_0000001464,COUNTRY,BHR,YEAR,2009,,,,,,,DATASOURCE,SA_0000001464_BHR,128.8,,,,,2018-08-30T15:35:41Z,2009,2009-01-01,2009-12-31
19764799,SA_0000001464,COUNTRY,BHR,YEAR,2012,,,,,,,DATASOURCE,SA_0000001464_BHR,105.2,,,,,2018-08-30T15:35:42Z,2012,2012-01-01,2012-12-31
19764800,SA_0000001464,COUNTRY,BHR,YEAR,2014,,,,,,,DATASOURCE,SA_0000001464_BHR,43.5,,,,,2018-08-30T15:35:42Z,2014,2014-01-01,2014-12-31
19764803,SA_0000001464,COUNTRY,BHR,YEAR,2007,,,,,,,DATASOURCE,SA_0000001464_BHR,12.8,,,,,2018-08-30T15:35:42Z,2007,2007-01-01,2007-12-31
