Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19764506,SA_0000001471,COUNTRY,ALB,YEAR,2001,,,,,,,DATASOURCE,SA_0000001471_ALB,3.8,,,,,2018-08-30T15:35:26Z,2001,2001-01-01,2001-12-31
19764507,SA_0000001471,COUNTRY,ALB,YEAR,2012,,,,,,,DATASOURCE,SA_0000001471_ALB,1,,,,,2018-08-30T15:35:26Z,2012,2012-01-01,2012-12-31
19764510,SA_0000001471,COUNTRY,ALB,YEAR,1996,,,,,,,DATASOURCE,SA_0000001471_ALB,1.8,,,,,2018-08-30T15:35:26Z,1996,1996-01-01,1996-12-31
19764511,SA_0000001471,COUNTRY,ALB,YEAR,1999,,,,,,,DATASOURCE,SA_0000001471_ALB,1.9,,,,,2018-08-30T15:35:26Z,1999,1999-01-01,1999-12-31
19764512,SA_0000001471,COUNTRY,ALB,YEAR,2013,,,,,,,DATASOURCE,SA_0000001471_ALB,1.8,,,,,2018-08-30T15:35:26Z,2013,2013-01-01,2013-12-31
19764513,SA_0000001471,COUNTRY,ALB,YEAR,2014,,,,,,,DATASOURCE,SA_0000001471_ALB,6.4,,,,,2018-08-30T15:35:26Z,2014,2014-01-01,2014-12-31
19764518,SA_0000001471,COUNTRY,ALB,YEAR,1995,,,,,,,DATASOURCE,SA_0000001471_ALB,3.3,,,,,2018-08-30T15:35:26Z,1995,1995-01-01,1995-12-31
19764519,SA_0000001471,COUNTRY,ALB,YEAR,2000,,,,,,,DATASOURCE,SA_0000001471_ALB,1.6,,,,,2018-08-30T15:35:26Z,2000,2000-01-01,2000-12-31
19764520,SA_0000001471,COUNTRY,ALB,YEAR,2002,,,,,,,DATASOURCE,SA_0000001471_ALB,4.6,,,,,2018-08-30T15:35:26Z,2002,2002-01-01,2002-12-31
19764521,SA_0000001471,COUNTRY,ALB,YEAR,2004,,,,,,,DATASOURCE,SA_0000001471_ALB,3.3,,,,,2018-08-30T15:35:27Z,2004,2004-01-01,2004-12-31
19764526,SA_0000001471,COUNTRY,ALB,YEAR,2009,,,,,,,DATASOURCE,SA_0000001471_ALB,7.4,,,,,2018-08-30T15:35:27Z,2009,2009-01-01,2009-12-31
19764527,SA_0000001471,COUNTRY,ALB,YEAR,2011,,,,,,,DATASOURCE,SA_0000001471_ALB,0.9,,,,,2018-08-30T15:35:27Z,2011,2011-01-01,2011-12-31
19764533,SA_0000001471,COUNTRY,ALB,YEAR,2006,,,,,,,DATASOURCE,SA_0000001471_ALB,8,,,,,2018-08-30T15:35:27Z,2006,2006-01-01,2006-12-31
19764534,SA_0000001471,COUNTRY,ALB,YEAR,2008,,,,,,,DATASOURCE,SA_0000001471_ALB,5.5,,,,,2018-08-30T15:35:27Z,2008,2008-01-01,2008-12-31
19764539,SA_0000001471,COUNTRY,ALB,YEAR,2003,,,,,,,DATASOURCE,SA_0000001471_ALB,4.4,,,,,2018-08-30T15:35:27Z,2003,2003-01-01,2003-12-31
19764540,SA_0000001471,COUNTRY,ALB,YEAR,2010,,,,,,,DATASOURCE,SA_0000001471_ALB,2.7,,,,,2018-08-30T15:35:28Z,2010,2010-01-01,2010-12-31
19764541,SA_0000001471,COUNTRY,ALB,YEAR,2005,,,,,,,DATASOURCE,SA_0000001471_ALB,2.1,,,,,2018-08-30T15:35:28Z,2005,2005-01-01,2005-12-31
