Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25759636,SA_0000001821,COUNTRY,AFG,YEAR,2019,,,,,,,,,0 [0-0],0,0,0,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759637,SA_0000001821,COUNTRY,AGO,YEAR,2019,,,,,,,,,1.8 [0.8-2.8],1.8,0.8,2.8,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759638,SA_0000001821,COUNTRY,ALB,YEAR,2019,,,,,,,,,2.4 [1.2-3.6],2.4,1.2,3.6,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759639,SA_0000001821,COUNTRY,AND,YEAR,2019,,,,,,,,,1.8 [0.7-2.8],1.8,0.7,2.8,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759640,SA_0000001821,COUNTRY,ARE,YEAR,2019,,,,,,,,,1.9 [0.8-3.1],1.9,0.8,3.1,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759641,SA_0000001821,COUNTRY,ARG,YEAR,2019,,,,,,,,,1.3 [0.5-2.3],1.3,0.5,2.3,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759642,SA_0000001821,COUNTRY,ARM,YEAR,2019,,,,,,,,,0.9 [0.2-1.6],0.9,0.2,1.6,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759643,SA_0000001821,COUNTRY,ATG,YEAR,2019,,,,,,,,,1.5 [0.6-2.5],1.5,0.6,2.5,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759644,SA_0000001821,COUNTRY,AUS,YEAR,2019,,,,,,,,,0.7 [0.2-1.4],0.7,0.2,1.4,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759645,SA_0000001821,COUNTRY,AUT,YEAR,2019,,,,,,,,,0.4 [0.1-0.9],0.4,0.1,0.9,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759646,SA_0000001821,COUNTRY,AZE,YEAR,2019,,,,,,,,,0.1 [0-0.2],0.1,0,0.2,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759647,SA_0000001821,COUNTRY,BDI,YEAR,2019,,,,,,,,,3.3 [1.9-4.9],3.3,1.9,4.9,,2021-04-29T15:16:11Z,2019,2019-01-01,2019-12-31
25759648,SA_0000001821,COUNTRY,BEL,YEAR,2019,,,,,,,,,0.9 [0.2-1.7],0.9,0.2,1.7,,2021-04-29T15:16:12Z,2019,2019-01-01,2019-12-31
