Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
19756321,SA_0000001751,COUNTRY,BFA,YEAR,2016,SEX,BTSX,,,,,,,47.9 [45.4-50.3],47.9,45.4,50.3,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756322,SA_0000001751,COUNTRY,MDG,YEAR,2016,SEX,BTSX,,,,,,,20 [18.7-21.2],20,18.7,21.2,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756323,SA_0000001751,COUNTRY,MWI,YEAR,2016,SEX,BTSX,,,,,,,33.4 [31.6-35.2],33.4,31.6,35.2,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756324,SA_0000001751,COUNTRY,MLI,YEAR,2016,SEX,BTSX,,,,,,,12.4 [11.6-13.1],12.4,11.6,13.1,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756325,SA_0000001751,COUNTRY,MRT,YEAR,2016,SEX,BTSX,,,,,,,8.1 [7.4-8.8],8.1,7.4,8.8,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756326,SA_0000001751,COUNTRY,MUS,YEAR,2016,SEX,BTSX,,,,,,,25 [23.8-26.1],25,23.8,26.1,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756327,SA_0000001751,COUNTRY,MOZ,YEAR,2016,SEX,BTSX,,,,,,,24.6 [23.2-26],24.6,23.2,26,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756328,SA_0000001751,COUNTRY,NAM,YEAR,2016,SEX,BTSX,,,,,,,70.1 [67.5-72.6],70.1,67.5,72.6,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756329,SA_0000001751,COUNTRY,NER,YEAR,2016,SEX,BTSX,,,,,,,5.4 [4.9-5.8],5.4,4.9,5.8,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
19756330,SA_0000001751,COUNTRY,NGA,YEAR,2016,SEX,BTSX,,,,,,,55 [52.8-57.3],55,52.8,57.3,,2018-08-24T11:57:53Z,2016,2016-01-01,2016-12-31
