Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
BACGROUP,SA_GENERAL_POPULATION,General population,,,
BACGROUP,SA_PROFESS_COMMERCE_DRIVERS,Professional/commercial drivers,,,
BACGROUP,SA_YOUNG_NOVICE_DRIVERS,Young/novice drivers,,,
